109,Закрыт
108,Не состоялся
111,Не состоялся
110,Не состоялся
117,Не состоялся
112,Не состоялся
142,Не состоялся
118,Не состоялся
123,Не состоялся
124,Не состоялся
120,Закрыт
119,Не состоялся
149,Не состоялся
653,Закрыт
151,Не состоялся
152,Закрыт
160,Не состоялся
147,Не состоялся
164,Не состоялся
162,Закрыт
153,Не состоялся
163,Отменен заказчиком
161,Не состоялся
166,Не состоялся
165,Не состоялся
169,Не состоялся
168,Не состоялся
167,Не состоялся
172,Закрыт
170,Закрыт
171,Не состоялся
173,Закрыт
176,Не состоялся
206,Не состоялся
177,Не состоялся
195,Не состоялся
210,Ожидает начала торгов
211,Не состоялся
214,Ожидает начала торгов
207,Не состоялся
209,Не состоялся
208,Не состоялся
222,Не состоялся
220,Отменен заказчиком
217,Закрыт
215,Ожидает начала торгов
216,Не состоялся
228,Не состоялся
229,Не состоялся
227,Ожидает начала торгов
224,Не состоялся
226,Не состоялся
234,Закрыт
230,Не состоялся
231,Ожидает начала торгов
232,Не состоялся
233,Не состоялся
242,Закрыт
219,Закрыт
842,Закрыт
243,Не состоялся
241,Не состоялся
237,Закрыт
246,Не состоялся
244,Не состоялся
247,Закрыт
248,Закрыт
252,Не состоялся
254,Закрыт
256,Отменен заказчиком
257,Не состоялся
249,Закрыт
253,Не состоялся
264,Не состоялся
260,Не состоялся
265,Не состоялся
259,Закрыт
267,Не состоялся
269,Закрыт
266,Закрыт
273,Закрыт
275,Закрыт
279,Не состоялся
277,Не состоялся
280,Не состоялся
276,Не состоялся
278,Не состоялся
698,Закрыт
282,Не состоялся
283,Не состоялся
281,Закрыт
286,Не состоялся
297,Не состоялся
334,Не состоялся
299,Не состоялся
300,Не состоялся
298,Не состоялся
305,Не состоялся
303,Не состоялся
307,Закрыт
315,Закрыт
323,Не состоялся
324,Не состоялся
314,Не состоялся
316,Не состоялся
317,Не состоялся
318,Не состоялся
319,Не состоялся
320,Не состоялся
321,Не состоялся
322,Не состоялся
326,Не состоялся
327,Не состоялся
325,Не состоялся
328,Закрыт
329,Не состоялся
547,Не состоялся
336,Закрыт
353,Не состоялся
337,Закрыт
338,Не состоялся
339,Закрыт
340,Не состоялся
341,Не состоялся
342,Не состоялся
349,Не состоялся
350,Не состоялся
356,Не состоялся
363,Не состоялся
359,Не состоялся
358,Закрыт
360,Не состоялся
362,Закрыт
364,Не состоялся
365,Не состоялся
366,Отменен заказчиком
371,Отменен заказчиком
374,Отменен заказчиком
376,Отменен заказчиком
368,Отменен заказчиком
367,Отменен заказчиком
369,Отменен заказчиком
392,Закрыт
387,Закрыт
388,Закрыт
391,Закрыт
384,Отменен заказчиком
394,Отменен заказчиком
393,Отменен заказчиком
389,Отменен заказчиком
395,Закрыт
397,Закрыт
396,Закрыт
411,Не состоялся
412,Не состоялся
406,Не состоялся
398,Закрыт
399,Закрыт
400,Закрыт
401,Закрыт
402,Закрыт
403,Закрыт
404,Закрыт
405,Не состоялся
416,Не состоялся
407,Не состоялся
408,Не состоялся
409,Не состоялся
410,Не состоялся
413,Не состоялся
414,Закрыт
415,Закрыт
418,Не состоялся
420,Не состоялся
419,Закрыт
424,Отменен заказчиком
422,Не состоялся
425,Отменен заказчиком
426,Отменен заказчиком
423,Отменен заказчиком
427,Отменен заказчиком
428,Отменен заказчиком
430,Отменен заказчиком
429,Отменен заказчиком
432,Отменен заказчиком
431,Отменен заказчиком
433,Отменен заказчиком
434,Отменен заказчиком
438,Отменен заказчиком
435,Отменен заказчиком
437,Отменен заказчиком
439,Отменен заказчиком
436,Отменен заказчиком
440,Отменен заказчиком
441,Отменен заказчиком
444,Отменен заказчиком
443,Отменен заказчиком
442,Отменен заказчиком
446,Закрыт
445,Закрыт
451,Не состоялся
496,Не состоялся
1792,Не состоялся
455,Закрыт
453,Закрыт
457,Закрыт
452,Не состоялся
458,Закрыт
